,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
1136,2406007.0,José da Penha,24.0,RN,453.5142857142857,518.675,509.5571428571429,517.1535714285714,730.7142857142857
1137,2406106.0,Jucurutu,24.0,RN,458.52363636363634,479.7586206896552,476.70862068965516,485.3545454545455,551.3793103448276
1138,2406155.0,Jundiá,24.0,RN,574.3499999999999,458.0,455.9,449.6,390.0
1139,2406205.0,Lagoa d'Anta,24.0,RN,443.5222222222222,447.29999999999995,467.30555555555554,472.12777777777774,490.0
1140,2406304.0,Lagoa de Pedras,24.0,RN,440.6939393939394,456.9525,448.325,448.830303030303,415.5
1141,2406403.0,Lagoa de Velhos,24.0,RN,457.1,432.78000000000003,441.48,440.88,616.0
1142,2406502.0,Lagoa Nova,24.0,RN,449.66764705882355,474.3837837837838,458.44594594594594,483.91764705882355,552.972972972973
1143,2406601.0,Lagoa Salgada,24.0,RN,469.38500000000005,474.6578947368421,467.54210526315785,459.29499999999996,521.0526315789474
1144,2406700.0,Lajes,24.0,RN,482.7375,520.8179487179486,519.0794871794872,546.5223214285714,608.7179487179487
1145,2406809.0,Lajes Pintadas,24.0,RN,,497.7,443.1,,0.0
1146,2406908.0,Lucrécia,24.0,RN,496.3636363636364,499.3636363636364,494.14545454545447,476.80909090909097,652.7272727272727
1147,2407005.0,Luís Gomes,24.0,RN,466.48695652173916,492.9782608695652,467.67391304347825,459.82173913043476,554.7826086956521
1148,2407104.0,Macaíba,24.0,RN,493.0712918660287,517.1104545454546,503.9309090909091,521.201913875598,595.3636363636364
1149,2407203.0,Macau,24.0,RN,483.0069892473118,506.22923076923075,505.97076923076924,512.7946236559139,639.1794871794872
1150,2407252.0,Major Sales,24.0,RN,498.6875,514.6875,514.05,547.8875,625.0
1151,2407302.0,Marcelino Vieira,24.0,RN,481.0066666666667,490.69374999999997,493.125,506.1066666666667,595.0
1152,2407401.0,Martins,24.0,RN,464.4045454545454,484.70416666666665,470.87916666666666,475.40909090909093,532.5
1153,2407500.0,Maxaranguape,24.0,RN,457.8666666666666,485.1333333333334,442.93333333333334,451.43333333333334,500.0
1154,2407609.0,Messias Targino,24.0,RN,444.5416666666667,436.19166666666666,412.68333333333334,460.06666666666666,615.0
1155,2407708.0,Montanhas,24.0,RN,462.13500000000005,471.13,459.62749999999994,472.30249999999995,473.5
1156,2407807.0,Monte Alegre,24.0,RN,465.6307692307692,485.8878048780488,460.5512195121951,472.23846153846154,491.7073170731707
1157,2407906.0,Monte das Gameleiras,24.0,RN,438.68333333333334,444.75714285714287,430.74285714285713,450.18333333333334,520.0
1158,2408003.0,Mossoró,24.0,RN,503.76006666666666,532.2911384217335,523.5034282018112,561.2292,683.1435963777491
1159,2408102.0,Natal,24.0,RN,520.9242424242424,551.5127230590962,541.3209733487834,578.5905483405484,696.774044032445
1160,2408201.0,Nísia Floresta,24.0,RN,468.5296296296296,473.0030303030303,477.6121212121212,485.8888888888889,503.6363636363636
1161,2408300.0,Nova Cruz,24.0,RN,498.17850162866443,534.1803174603174,520.7314285714285,563.3377850162867,685.2063492063492
1162,2408409.0,Olho d'Água do Borges,24.0,RN,461.47222222222223,474.4894736842105,471.3789473684211,487.6166666666667,534.7368421052631
1163,2408508.0,Ouro Branco,24.0,RN,472.44166666666666,465.7785714285714,484.0571428571429,467.60833333333335,508.57142857142856
1164,2408607.0,Paraná,24.0,RN,428.71999999999997,523.36,494.58000000000004,484.52,556.0
1165,2408706.0,Paraú,24.0,RN,452.4153846153846,464.44666666666666,449.0866666666667,438.18461538461537,510.6666666666667
1166,2408805.0,Parazinho,24.0,RN,454.53749999999997,440.1,433.01000000000005,483.9625,558.0
1167,2408904.0,Parelhas,24.0,RN,507.4611111111111,544.3395604395605,522.3296703296703,580.6011111111111,671.4285714285714
1168,2408953.0,Rio do Fogo,24.0,RN,466.2578947368421,480.9619047619048,461.5380952380952,475.9736842105263,465.7142857142857
1169,2409100.0,Passa e Fica,24.0,RN,476.34722222222223,519.8918918918919,498.1810810810811,519.5722222222222,697.8378378378378
1170,2409209.0,Passagem,24.0,RN,428.23999999999995,490.37999999999994,501.7,415.88,324.0
1171,2409308.0,Patu,24.0,RN,464.53599999999994,489.0397435897436,466.90384615384613,493.7893333333333,615.8974358974359
1172,2409332.0,Santa Maria,24.0,RN,453.9714285714286,447.7714285714286,474.3142857142857,457.62857142857143,442.85714285714283
1173,2409407.0,Pau dos Ferros,24.0,RN,514.8318713450292,542.6395348837209,536.2171511627907,570.9827485380117,701.3953488372093
1174,2409506.0,Pedra Grande,24.0,RN,434.025,484.64,483.84,421.20000000000005,592.0
1175,2409605.0,Pedra Preta,24.0,RN,423.2,470.9166666666667,450.88333333333327,498.0833333333333,340.0
1176,2409704.0,Pedro Avelino,24.0,RN,434.76000000000005,418.15000000000003,405.75,526.78,326.6666666666667
1177,2409803.0,Pedro Velho,24.0,RN,456.75757575757575,479.7972222222222,460.7027777777778,448.3666666666667,504.44444444444446
1178,2409902.0,Pendências,24.0,RN,458.1605263157894,468.0894736842106,473.06052631578945,476.10526315789474,457.89473684210526
1179,2410009.0,Pilões,24.0,RN,461.3714285714286,485.3285714285715,446.2,498.90000000000003,568.5714285714286
1180,2410108.0,Poço Branco,24.0,RN,438.795652173913,466.7833333333333,440.7291666666667,459.004347826087,460.8333333333333
1181,2410207.0,Portalegre,24.0,RN,484.27142857142854,522.5735294117648,508.2147058823529,532.5457142857142,708.2352941176471
1182,2410256.0,Porto do Mangue,24.0,RN,475.85714285714283,501.34285714285716,489.54285714285714,508.2142857142857,548.5714285714286
1183,2410306.0,Serra Caiada,24.0,RN,452.37368421052633,461.7277777777778,453.8611111111111,480.7105263157895,551.1111111111111
1184,2410405.0,Pureza,24.0,RN,461.9714285714286,426.37333333333333,441.9866666666667,453.15714285714284,344.0
1185,2410504.0,Rafael Fernandes,24.0,RN,470.81000000000006,503.88,476.05,508.41,540.0
1186,2410603.0,Rafael Godeiro,24.0,RN,448.265,475.21000000000004,487.90500000000003,492.77,691.0
